
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']
** get_Rfile_ascii_table_params: lline: 204 ['181', '-1549.71', '36.28347249', '14', '12', '0.100176', '0.138767', '0.127501', '0.180833', '0.062373', '362.072']

** get_Rfile_ascii_table_params: lline: 205 ['182', '-1514.29', '35.42098864', '16', '13', '0.126006', '0.131251', '0.111494', '0.078497', '0.068214', '350.068']

** get_Rfile_ascii_table_params: lline: 206 ['183', '-1576.02', '-61.72906358', '31', '23', '0.048262', '0.077609', '0.140133', '0.103835', '0.084982', '331.868']

** get_Rfile_ascii_table_params: lline: 207 ['184', '-1544.38', '31.64053555', '27', '5', '0.059649', '0.138926', '0.037177', '0.162919', '0.078712', '335.535']

** get_Rfile_ascii_table_params: lline: 208 ['185', '-1515.73', '28.64877889', '7', '30', '0.055329', '0.107361', '0.147776', '0.087749', '0.108728', '384.942']

** get_Rfile_ascii_table_params: lline: 209 ['186', '-1548.16', '-32.43231836', '26', '2', '0.074024', '0.091273', '0.138043', '0.068541', '0.072989', '328.217']

** get_Rfile_ascii_table_params: lline: 210 ['187', '-1576.15', '-27.99198996', '25', '20', '0.067958', '0.147106', '0.070153', '0.108435', '0.188751', '326.506']

** get_Rfile_ascii_table_params: lline: 211 ['188', '-1529.85', '46.30066943', '10', '3', '0.125054', '0.072777', '0.085465', '0.080114', '0.128891', '324.517']

** get_Rfile_ascii_table_params: lline: 212 ['189', '-1603.81', '-73.95611726', '21', '25', '0.076838', '0.160044', '0.117753', '0.045180', '0.078607', '335.877']

** get_Rfile_ascii_table_params: lline: 213 ['190', '-1515.06', '88.75470073', '19', '1', '0.055560', '0.102284', '0.133246', '0.155090', '0.111036', '378.351']

** get_Rfile_ascii_table_params: lline: 214 ['191', '-1485.27', '29.78450878', '8', '20', '0.089445', '0.167208', '0.088280', '0.083273', '0.124054', '321.958']

** get_Rfile_ascii_table_params: lline: 215 ['192', '-1540.83', '-55.5591343', '23', '6', '0.089711', '0.078571', '0.178061', '0.105687', '0.081757', '350.737']

** get_Rfile_ascii_table_params: lline: 216 ['193', '-1530.74', '10.08725752', '16', '9', '0.065452', '0.118740', '0.113049', '0.094190', '0.091219', '318.28']

** get_Rfile_ascii_table_params: lline: 217 ['194', '-1517.75', '12.98791511', '22', '28', '0.090164', '0.159969', '0.092401', '0.126143', '0.068666', '315.671']

** get_Rfile_ascii_table_params: lline: 218 ['195', '-1564.81', '-47.05846305', '0', '24', '0.111709', '0.111423', '0.099602', '0.087690', '0.057146', '366.889']

** get_Rfile_ascii_table_params: lline: 219 ['196', '-1560.6', '4.211894736', '5', '14', '0.118330', '0.116863', '0.143205', '0.090944', '0.132120', '361.307']

** get_Rfile_ascii_table_params: lline: 220 ['197', '-1531.11', '29.49486866', '26', '16', '0.097457', '0.144196', '0.130457', '0.080931', '0.149173', '354.435']

** get_Rfile_ascii_table_params: lline: 221 ['198', '-1598.46', '-67.35570304', '17', '19', '0.069654', '0.152131', '0.114254', '0.078446', '0.129617', '362.993']

** get_Rfile_ascii_table_params: lline: 222 ['199', '-1512.22', '86.24185574', '5', '20', '0.081213', '0.140802', '0.109727', '0.147281', '0.102767', '353.875']

** get_Rfile_ascii_table_params: lline: 223 ['200', '-1504.02', '8.197502416', '31', '8', '0.106972', '0.120908', '0.149595', '0.098465', '0.132950', '352.271']

** get_Rfile_ascii_table_params: lline: 224 ['201', '-1611.14', '-107.1131557', '23', '28', '0.106944', '0.083449', '0.148574', '0.098743', '0.088009', '312.575']

** get_Rfile_ascii_table_params: lline: 225 ['202', '-1587.73', '23.40221626', '23', '13', '0.097203', '0.117465', '0.086921', '0.081564', '0.072413', '353.806']

